prompt_id,rank,firm,recommendations,models,top_source_url,status,review_source_url,accessed_date,notes
discovery_capital_efficient_saas,1,Calm Company Fund,25,8,https://calmfund.com/thesis,qualified,https://tylertringas.com/code-concrete/,2026-09-03,Historical thesis strongly supports philosophical fit for capital-efficient SaaS. Calm paused new investing in June 2024; Tyler Tringas wrote in December 2024 that it would not return in its previous form and that Fund IV capital had been returned. Not an active early-stage funding recommendation at the benchmark date.
discovery_capital_efficient_saas,2,Flying Founders,24,8,https://www.flyingfounders.com/,qualified,https://www.flyingfounders.com/,2026-09-02,"Primary site states a €100K to €500K single-cheque model, 2 named operators and portfolio examples. It describes investing own capital rather than a conventional fund, which should remain visible in any recommendation."
discovery_capital_efficient_saas,3,Malpani Ventures,24,8,https://www.malpaniventures.com/blog/a-quiet-reorientation,verified,https://www.malpaniventures.com/blog/a-quiet-reorientation,2026-09-02,Dated primary firm article states the current capital-efficient thesis and permanent-ownership approach.
discovery_capital_efficient_saas,4,TinySeed,24,8,https://tinyseed.com/thesis,verified,https://tinyseed.com/invest,2026-09-02,Primary investor page directly supports both SaaS and capital-efficiency dimensions.
discovery_capital_efficient_saas,5,Mainsail Partners,11,6,https://mainsailpartners.com/,verified,https://mainsailpartners.com/,2026-09-02,"Primary firm site and 2025 fund announcement confirm its bootstrapped-software focus and growth-equity model. It is a later-stage answer to capital-efficient growth, not a typical early-stage VC recommendation."
discovery_climate_hardware,1,KOMPAS VC,22,8,https://www.kompas.vc/,verified,https://www.kompas.vc/,2026-09-02,"Primary site supports industrial, climate and hardware-adjacent fit across manufacturing, energy, infrastructure and the built environment."
discovery_climate_hardware,2,Treverge,22,8,https://treverge.co/,needs_manual_review,https://treverge.co/,2026-09-02,"The live site contains extensive duplicated content and leftover template pages, gives both 15-year and 12-year fund structures, exposes no clear partner names in retrieved text, and has little independent footprint in search. Do not treat the site alone as proof of an operating fund or its claimed fund size."
discovery_climate_hardware,3,Extantia Capital,20,8,https://f4.fund/firms/extantia,verified,https://www.extantia.com/strategy,2026-09-02,"Primary firm pages state a €204M active flagship fund, €1M to €5M investment range, mainly European geography and a climate mandate spanning software and hardware."
discovery_climate_hardware,4,SNØCAP,20,8,https://snocap.vc/,verified,https://snocap.vc/,2026-09-02,"Primary site supports early hard-tech and climate association, including commercialised IP and first institutional capital."
discovery_climate_hardware,5,Ruya Ventures,17,7,https://www.ruya.ventures/,qualified,https://www.ruya.ventures/,2026-09-02,"Primary firm material supports a deep-tech company-creation strategy and documents a current clean-energy investment. It does not yet establish a broad climate-hardware portfolio, so retain that distinction in category claims."
discovery_consumer,1,Mantis VC,20,8,https://www.mantisvc.com/about,verified,https://www.mantisvc.com/about,2026-09-02,"Primary site states stage, named partners, 130-plus investments and an explicit branding, storytelling and network thesis."
discovery_consumer,2,Forerunner Ventures,20,7,https://f4.fund/firms/forerunner-ventures,verified,https://thedinnerparty.forerunnerventures.com/,2026-09-02,Primary Forerunner research site supports the consumer-specialist association.
